method,budget,error_l2
MC,100,0.3186227605588906
MC,215,0.1495291323526063
MC,464,0.1396109891811362
MC,1000,0.09425347680935586
MC,2154,0.0936093714518398
MC,4641,0.03322588765843216
MC,10000,0.01680004993514953
QAE-style,10,0.333276367254839
QAE-style,21,0.19883967795458926
QAE-style,46,0.08024792213310981
QAE-style,100,0.010286808111910663
QAE-style,215,0.01672363970660225
QAE-style,464,0.004859697273643304
QAE-style,1000,0.00411209490661694
MC (N=M^2 overlay),10,0.1633781629987532
MC (N=M^2 overlay),21,0.15083682266870005
MC (N=M^2 overlay),46,0.054627771377178724
MC (N=M^2 overlay),100,0.04959641836755714
MC (N=M^2 overlay),215,0.01426328869834377
MC (N=M^2 overlay),464,0.0064348609440059695
MC (N=M^2 overlay),1000,0.00325681209445229
