iter,cvar_mc,queries_mc,cvar_qae,queries_qae
1,0.18162771915221987,200,0.18478542221832198,200
2,0.19895421536681865,400,0.19939077958167203,400
3,0.1760094614048736,600,0.19633963735958423,600
4,0.18996628305821697,800,0.18226630072557481,800
5,0.183470219562027,1000,0.17814036384152146,1000
6,0.16452252634579462,1200,0.1644311930644012,1200
7,0.1761724365691946,1400,0.1768514454052666,1400
8,0.16688663414459626,1600,0.17524587375400946,1600
9,0.18816539734371568,1800,0.16929675609150419,1800
10,0.16952752340921504,2000,0.18052257700725963,2000
11,0.1709528293664645,2200,0.14901624979711875,2200
12,0.19539844315093519,2400,0.1619787782391027,2400
13,0.16018337022734583,2600,0.15294943206211783,2600
14,0.18116839403609544,2800,0.16835245441176527,2800
15,0.1611971158623181,3000,0.18413236086741475,3000
16,0.15626289450797365,3200,0.15814202875586247,3200
17,0.15954651886701085,3400,0.1772511057528421,3400
18,0.16348758285377885,3600,0.18685144337392043,3600
19,0.15107686954205637,3800,0.16568430646905435,3800
20,0.16403184960329145,4000,0.1852951488377857,4000
21,0.16167326862596465,4200,0.18324184961926007,4200
22,0.15988464444936568,4400,0.16800422592741485,4400
23,0.16934379468785282,4600,0.1716619700180404,4600
24,0.16373766825132358,4800,0.1605019676006815,4800
25,0.17107924971803118,5000,0.16281191304697437,5000
26,0.18663835557708047,5200,0.16461645036823935,5200
27,0.15991445506412175,5400,0.1581940249235267,5400
28,0.16499724289029796,5600,0.16410400627552166,5600
29,0.15854306011815006,5800,0.16020489277324848,5800
30,0.17678195521212572,6000,0.1731041267682971,6000
31,0.15353700031366305,6200,0.15361208823921169,6200
32,0.15380738131375024,6400,0.17111747886314108,6400
33,0.1590251806787511,6600,0.17697904636096537,6600
34,0.16534422676338367,6800,0.1618205237376631,6800
35,0.16246276480783228,7000,0.16848519890281194,7000
36,0.17232059126975957,7200,0.15583108762700787,7200
37,0.16718182610365476,7400,0.16621410637987993,7400
38,0.15989166675842215,7600,0.16745758484112344,7600
39,0.1802661676460319,7800,0.17358056580209086,7800
40,0.17395570871640187,8000,0.17176008526432301,8000
